,text,weight
0,Khách 659: 52kg.1m62 vừa chứ ạ,52kg
1,Khách 663: Mau nude c.1m53 nang 51kg,51kg
2,Khách 667: 53kg 1m6,53kg
3,Khách 714: 1m63 49kg mặc sz S được không shop, 49kg
4,Cẩm Tú: 53kg 1m6, 53kg 
5,Hoa Hải Đằng: Đầm này 56kg cao 1m55 vừa phải ko e,56kg
6,"Phạm Ý My: Áo này còn k em, 1m55 50ki", 50ki
7,"Mẫu live mặc CAO 1M58, NẶNG 52KG ( lưu ý bên e k nhận đổi trả vấn đề mặc k vừa )",52KG 
8,Khách 740: 56 kí 1m45 vừa k,56 kí
9,Khách 740: Mấy đồ này dưới 55 kí 1m45 vưa k e,dưới 55 kí 
10,Khách 745: 1m65 55kg,55kg
11,Yen Nhu Nguyen: Cho chi hoi sét chery va sét đen sét tim chi cao 1m59 nang 55 ky vua ko,55 
12,Yen Nhu Nguyen: Em sét chery chi cao 1m59 nang 55ky vua ko,55ky 
13,Bé Hoà: Size 52kg 1m58 nha,52kg 
14,Bé Hoà: Size M 52kg 1m59 vừa ko c,52kg 
15,"Ha Tran: C m58,50kg ngực 86 thì size hì e ha",50kg 
16,Ha Tran: C m58 nặng 50kg vừa k,50kg 
17," Khách 381: shop cho em hỏi, 1m6 52 kg thì mặc size j thì chuẩn bên mình ạ",52 kg
18, Khách 393: E cao 1m58 mà nặng 62ky là mẹc size L vừa ko ạ,62ky
19, Khách 405: Chị cao 1m50 nặng 49kg,49kg
20, Khách 411: dạ e cao m6 nặng 61kg,61kg
21, Khách 423: E 49kg cao 1m5,49kg
22, Khách 426: 2 mẫu này sive 48kg 1m60,48kg
23, Khách 430: Chị 50ki 1m60 lấy Size vừa cho c nha,50ki
24, Khách 433: 1m55 52kg,52kg
25, Khách 445: Nếu còn mk cao 1m56 nặng 46kg nên mặc size nào ạ?,46kg
26, Khách 461: Chi ơi 1m58 48kg eo 68 mặc size gì ạ,48kg
27, Khách 461: E lấy đầm này c nha! 48kg 1m58,48kg
28, Khách 463: m55 57kí vừa ko ạ. lấy em size L nhe,57kí
29, Khách 472: E 55 kí có vừa k ạ 1m60,55 kí
30, Khách 487: E cao 1m6 nặng 58 kg mặc vừa L hết cho cả 2 đầm đúng kh c ??,58 kg
31,"Khách 752: Mình 1m6, nặng 49kg mặc vừa ko","Khách 752: Mình 1m6, nặng 49kg mặc vừa ko|/|49kg"
32,Khách 755: E 54k .cao156.mặc đc o c,54k|/|Khách 755: E 54k .cao156.mặc đc o c
33,Khách 778: 1m55 nặng 49kg. Chân váy có size k,49kg
34,"Khách 779: E cao 1m69,eo63, mông92,51kg",51kg
35,"Khách 785: 1m50,48kg vừa k e","Khách 785: 1m50,48kg vừa k e|/|48kg"
36,Kiều Văn: C cái 1 m63 nặng 55kg lấy size m hay L e,55kg|/|Kiều Văn: C cái 1 m63 nặng 55kg lấy size m hay L e
37,Kiều Văn: C cao m63 nặng 55 kg, 55 kg
38,Kiều Văn: Cao m63 nặng 55kg,55kg
39,Kiều Văn: C cao m63 nặng 55kg,55kg
40,Tran Thanh Duyen: Mình lấy sét nay. Áo lông và quần.xxxxx 56kg cao 1m57,56kg
41,Sori Nguyen: 1m55 nặng 49kg. Chân váy có size k,49kg
42,Thao Truong: Em  1m58 nặng 42kg vừa ko ạ,42kg|/|Thao Truong: Em  1m58 nặng 42kg vừa ko ạ
43, Khách 505: Em 47 kí cao 1m53 size s phải k shop,47 kí
44, Khách 512: Chị cao 1m 50.. Nặng 47kg.,47kg
45, Khách 535: .mình 44kg cao 1m50,44kg
46, Khách 556: Em 1m63 nặng 47kg đồ nhà chị lấy size S hay size M vậy ạ,47kg
47, Khách 563: Lấy cho c màu đỏ c cao 1m55 nặng 50kg chắc mặc size m đc hé e,50kg
48, Khách 577: Mẫu này 54kg m62 vừa k shop,54kg
49," Khách 592: Mình có đơn hàng này. Nhưng mình 1m58, 45kg. Mặc vừa vặn hay phải bóp ạ","45kg|/| Khách 592: Mình có đơn hàng này. Nhưng mình 1m58, 45kg. Mặc vừa vặn hay phải bóp ạ"
50, Khách 1306: E muốn tìm sét đồ đi chơi. E nặng 55ky cao 1m50 eo 78 .Co mẫu nào vừa e ko gửi hình e xem với,55ky
51, Khách 1306: Shop có mẫu sét nào 55ky eo 78 cao 1m50 ko gửi e xem với,55ky
52," Khách 1313: M53kg cao 1,65 b nhed",53kg
53," Khách 1315: Có lấy chị 2 mẫu ln nhe.cao 1m6 năng 55 kg ,eo chị 76 .",55 kg
54, Khách 1315: Chị 55 kg cao 1m6,55 kg
55, Khách 1316: 1m6 nặg 56kg dị mag size gì shop,56kg
56, Khách 1316: Lấy e mẫu này. Size 1m6 56kg,56kg
57, Khách 1327: Váy 1m57 nặng 54 kí vừa ko ạ,54 kí
58, Khách 1331: e 55kg cao 1m6,55kg
59, Khách 1340: 47 cao 1m56,47
60, Shop: c cao với nặng bao nhiêu v ạ, Shop: c cao với nặng bao nhiêu v ạ
61, Khách 1347: Mẫu này 70kg mặc vừa ko shop. Cao 1m65 mua cho chị mình.,70kg
