,text,height
0,Khách 659: 52kg.1m62 vừa chứ ạ,1m62
1,Khách 663: Mau nude c.1m53 nang 51kg,1m53
2,Khách 667: 53kg 1m6,1m6
3,Khách 714: 1m63 49kg mặc sz S được không shop, 1m63
4,Cẩm Tú: 53kg 1m6,1m6
5,Hoa Hải Đằng: Đầm này 56kg cao 1m55 vừa phải ko e,1m55 
6,"Phạm Ý My: Áo này còn k em, 1m55 50ki",1m55
7,"Mẫu live mặc CAO 1M58, NẶNG 52KG ( lưu ý bên e k nhận đổi trả vấn đề mặc k vừa )",1M58
8,Khách 740: 56 kí 1m45 vừa k,1m45 
9,Khách 740: Mấy đồ này dưới 55 kí 1m45 vưa k e,1m45 
10,Khách 745: 1m65 55kg,1m65 
11,Yen Nhu Nguyen: Cho chi hoi sét chery va sét đen sét tim chi cao 1m59 nang 55 ky vua ko,1m59 
12,Yen Nhu Nguyen: Em sét chery chi cao 1m59 nang 55ky vua ko,1m59 
13,Bé Hoà: Size 52kg 1m58 nha,1m58 
14,Bé Hoà: Size M 52kg 1m59 vừa ko c,1m59 
15,"Ha Tran: C m58,50kg ngực 86 thì size hì e ha",m58
16,Ha Tran: C m58 nặng 50kg vừa k,m58 
17," Khách 381: shop cho em hỏi, 1m6 52 kg thì mặc size j thì chuẩn bên mình ạ",1m6
18, Khách 393: E cao 1m58 mà nặng 62ky là mẹc size L vừa ko ạ,1m58
19, Khách 405: Chị cao 1m50 nặng 49kg,1m50
20, Khách 411: dạ e cao m6 nặng 61kg,m6
21, Khách 423: E 49kg cao 1m5,1m5
22, Khách 426: 2 mẫu này sive 48kg 1m60,1m60
23, Khách 430: Chị 50ki 1m60 lấy Size vừa cho c nha,1m60
24, Khách 433: 1m55 52kg,1m55
25, Khách 445: Nếu còn mk cao 1m56 nặng 46kg nên mặc size nào ạ?,1m56
26, Khách 461: Chi ơi 1m58 48kg eo 68 mặc size gì ạ,1m58
27, Khách 461: E lấy đầm này c nha! 48kg 1m58,1m58
28, Khách 463: m55 57kí vừa ko ạ. lấy em size L nhe,m55
29, Khách 472: E 55 kí có vừa k ạ 1m60,1m60
30, Khách 487: E cao 1m6 nặng 58 kg mặc vừa L hết cho cả 2 đầm đúng kh c ??,1m6
31,"Khách 752: Mình 1m6, nặng 49kg mặc vừa ko","Khách 752: Mình 1m6, nặng 49kg mặc vừa ko|/|1m6"
32,Khách 755: E 54k .cao156.mặc đc o c,156.|/|Khách 755: E 54k .cao156.mặc đc o c
33,Khách 778: 1m55 nặng 49kg. Chân váy có size k,1m55
34,"Khách 779: E cao 1m69,eo63, mông92,51kg",1m69
35,"Khách 785: 1m50,48kg vừa k e","Khách 785: 1m50,48kg vừa k e|/|1m50"
36,Kiều Văn: C cái 1 m63 nặng 55kg lấy size m hay L e,m63|/|Kiều Văn: C cái 1 m63 nặng 55kg lấy size m hay L e
37,Kiều Văn: C cao m63 nặng 55 kg,m63
38,Kiều Văn: Cao m63 nặng 55kg,m63
39,Kiều Văn: C cao m63 nặng 55kg,m63
40,Tran Thanh Duyen: Mình lấy sét nay. Áo lông và quần.xxxxx 56kg cao 1m57,1m57
41,Sori Nguyen: 1m55 nặng 49kg. Chân váy có size k,1m55
42,Thao Truong: Em  1m58 nặng 42kg vừa ko ạ, 1m58|/|Thao Truong: Em  1m58 nặng 42kg vừa ko ạ
43, Khách 505: Em 47 kí cao 1m53 size s phải k shop,1m53
44, Khách 512: Chị cao 1m 50.. Nặng 47kg.,1m 50
45, Khách 535: .mình 44kg cao 1m50,1m50
46, Khách 556: Em 1m63 nặng 47kg đồ nhà chị lấy size S hay size M vậy ạ,1m63
